Bank,Pin,Signal,ByteLane,XDR,PortNumber,PinType
32,AK15,ddr3_dq[31],,DDR,0,
33,AE9,ddr3_addr[6],,DDR,0,
34,AG4,ddr3_dqs_p[7],,DDR,0,
33,AA10,ddr3_dq[64],,DDR,0,
32,Y19,ddr3_dqs_p[1],,DDR,0,
33,AB9,ddr3_dqs_p[8],,DDR,0,
33,AJ9,ddr3_addr[13],,DDR,0,
34,AH2,ddr3_dq[48],,DDR,0,
32,Y15,ddr3_dm[2],,DDR,0,
34,AJ2,ddr3_dq[54],,DDR,0,
32,AG14,ddr3_dq[27],,DDR,0,
33,AG9,ddr3_addr[5],,DDR,0,
33,AC10,ddr3_cas_n,,DDR,0,
34,AG3,ddr3_dqs_n[7],,DDR,0,
32,AC19,ddr3_dq[8],,DDR,0,
32,AH17,ddr3_dq[28],,DDR,0,
34,AE4,ddr3_dq[58],,DDR,0,
33,AC9,ddr3_dqs_n[8],,DDR,0,
34,AH4,ddr3_dq[50],,DDR,0,
33,AD8,ddr3_addr[3],,DDR,0,
34,AG2,ddr3_dqs_p[6],,DDR,0,
33,AK14,ddr3_odt[0],,DDR,0,
34,AC2,ddr3_dq[38],,DDR,0,
34,AJ4,ddr3_dq[55],,DDR,0,
34,AJ1,ddr3_dq[49],,DDR,0,
32,AE16,ddr3_dm[3],,DDR,0,
33,AE13,ddr3_addr[15],,DDR,0,
33,AK11,ddr3_addr[0],,DDR,0,
32,AB18,ddr3_dq[14],,DDR,0,
32,AE18,ddr3_dq[13],,DDR,0,
34,AK5,ddr3_dq[41],,DDR,0,
34,AJ3,ddr3_reset_n,,DDR,0,
34,AD3,ddr3_dq[32],,DDR,0,
33,AH11,ddr3_addr[1],,DDR,0,
32,AH15,ddr3_dq[29],,DDR,0,
33,AH14,ddr3_ba[0],,DDR,0,
34,AK8,ddr3_dq[40],,DDR,0,
33,AC11,ddr3_we_n,,DDR,0,
32,AJ17,ddr3_dq[30],,DDR,0,
34,AD4,ddr3_dq[33],,DDR,0,
33,AD9,ddr3_addr[4],,DDR,0,
32,AB17,ddr3_dm[1],,DDR,0,
32,AF18,ddr3_dq[6],,DDR,0,
32,AC15,ddr3_dqs_n[2],,DDR,0,
34,AF3,ddr3_dq[56],,DDR,0,
32,AH19,ddr3_dq[0],,DDR,0,
33,AA13,ddr3_dm[8],,DDR,0,
33,AA8,ddr3_dq[71],,DDR,0,
34,AD2,ddr3_dqs_p[4],,DDR,0,
34,AD6,ddr3_dq[35],,DDR,0,
33,AH10,ddr3_addr[9],,DDR,0,
33,AD12,ddr3_ck_p[0],,DDR,0,
32,AA15,ddr3_dq[22],,DDR,0,
32,AB19,ddr3_dq[12],,DDR,0,
32,AD18,ddr3_dq[9],,DDR,0,
32,AK18,ddr3_dqs_n[0],,DDR,0,
34,AK6,ddr3_dq[47],,DDR,0,
33,Y11,ddr3_dq[67],,DDR,0,
33,AK10,ddr3_addr[11],,DDR,0,
33,AG10,ddr3_addr[12],,DDR,0,
32,AA17,ddr3_dq[21],,DDR,0,
32,AJ19,ddr3_dq[7],,DDR,0,
34,AD1,ddr3_dqs_n[4],,DDR,0,
33,AF11,ddr3_cs_n[0],,DDR,0,
34,AF5,ddr3_dq[62],,DDR,0,
32,Y18,ddr3_dqs_n[1],,DDR,0,
32,AE19,ddr3_dq[5],,DDR,0,
34,AG7,ddr3_dq[46],,DDR,0,
32,AA16,ddr3_dq[19],,DDR,0,
32,AG18,ddr3_dq[4],,DDR,0,
34,AJ6,ddr3_dq[45],,DDR,0,
32,AK16,ddr3_dq[24],,DDR,0,
33,AB10,ddr3_addr[10],,DDR,0,
34,AH6,ddr3_dq[53],,DDR,0,
