index,value
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,3212
9,3212
10,3212
11,3212
12,3212
13,3212
14,3212
15,3212
16,6393
17,6393
18,6393
19,6393
20,6393
21,6393
22,6393
23,6393
24,9512
25,9512
26,9512
27,9512
28,9512
29,9512
30,9512
31,9512
32,12539
33,12539
34,12539
35,12539
36,12539
37,12539
38,12539
39,12539
40,15446
41,15446
42,15446
43,15446
44,15446
45,15446
46,15446
47,15446
48,18204
49,18204
50,18204
51,18204
52,18204
53,18204
54,18204
55,18204
56,20787
57,20787
58,20787
59,20787
60,20787
61,20787
62,20787
63,20787
64,23170
65,23170
66,23170
67,23170
68,23170
69,23170
70,23170
71,23170
72,25329
73,25329
74,25329
75,25329
76,25329
77,25329
78,25329
79,25329
80,27245
81,27245
82,27245
83,27245
84,27245
85,27245
86,27245
87,27245
88,28898
89,28898
90,28898
91,28898
92,28898
93,28898
94,28898
95,28898
96,30273
97,30273
98,30273
99,30273
100,30273
101,30273
102,30273
103,30273
104,31356
105,31356
106,31356
107,31356
108,31356
109,31356
110,31356
111,31356
112,32137
113,32137
114,32137
115,32137
116,32137
117,32137
118,32137
119,32137
120,32609
121,32609
122,32609
123,32609
124,32609
125,32609
126,32609
127,32609
128,32767
129,32767
130,32767
131,32767
132,32767
133,32767
134,32767
135,32767
136,32609
137,32609
138,32609
139,32609
140,32609
141,32609
142,32609
143,32609
144,32137
145,32137
146,32137
147,32137
148,32137
149,32137
150,32137
151,32137
152,31356
153,31356
154,31356
155,31356
156,31356
157,31356
158,31356
159,31356
160,30273
161,30273
162,30273
163,30273
164,30273
165,30273
166,30273
167,30273
168,28898
169,28898
170,28898
171,28898
172,28898
173,28898
174,28898
175,28898
176,27245
177,27245
178,27245
179,27245
180,27245
181,27245
182,27245
183,27245
184,25329
185,25329
186,25329
187,25329
188,25329
189,25329
190,25329
191,25329
192,23170
193,23170
194,23170
195,23170
196,23170
197,23170
198,23170
199,23170
200,20787
201,20787
202,20787
203,20787
204,20787
205,20787
206,20787
207,20787
208,18204
209,18204
210,18204
211,18204
212,18204
213,18204
214,18204
215,18204
216,15446
217,15446
218,15446
219,15446
220,15446
221,15446
222,15446
223,15446
224,12539
225,12539
226,12539
227,12539
228,12539
229,12539
230,12539
231,12539
232,9512
233,9512
234,9512
235,9512
236,9512
237,9512
238,9512
239,9512
240,6393
241,6393
242,6393
243,6393
244,6393
245,6393
246,6393
247,6393
248,3212
249,3212
250,3212
251,3212
252,3212
253,3212
254,3212
255,3212
